; clear, cloudy, storm, blizzard, light fog, heavy fog
; sunrise, morning, midday, afternoon, sunset
region_036	129	187	port_cul_5_temperate_deciduous_forest_var_2.wfc	clear	midday
;region_016	41	186	port_cul_5_temperate_deciduous_forest_var_1.wfc	clear	midday
region_078	209	183	port_cul_3_mediterranean_var_1.wfc	clear	midday
region_115	328	183	port_cul_4_temperate_deciduous_forest_var_2.wfc	clear	midday
region_037	127	182	port_cul_5_temperate_deciduous_forest_var_1.wfc	clear	midday
region_035	110	180	port_cul_5_temperate_deciduous_forest_var_2.wfc	clear	midday
region_003	144	177	port_cul_5_temperate_deciduous_forest_var_1.wfc	clear	midday
region_130	353	177	port_cul_4_temperate_deciduous_forest_var_3.wfc	clear	midday
region_030	90	176	port_cul_1_mediterranean_var_2.wfc	clear	midday
region_106	253	176	port_cul_4_mediterranean_var_2.wfc	clear	midday
region_023	81	175	port_cul_5_mediterranean_var_1.wfc	clear	midday
region_105	233	175	port_cul_1_mediterranean_var_1.wfc	clear	midday
;	(Umbria)	region_039	134	173	port_cul_2_mediterranean_var_1.wfc	clear	midday
region_094	207	172	port_cul_5_mediterranean_var_3.wfc	clear	midday
region_038	118	171	port_cul_2_mediterranean_var_1.wfc	clear	midday
region_104	229	171	port_cul_4_mediterranean_var_2.wfc	clear	midday
region_019	81	170	port_cul_1_mediterranean_var_3.wfc	clear	midday
region_164	157	167	port_cul_5_mediterranean_var_1.wfc	clear	midday
region_010	10	164	port_cul_5_mediterranean_var_3.wfc	clear	midday
region_041	141	163	port_cul_2_mediterranean_var_3.wfc	clear	midday
region_040	125	162	port_cul_2_mediterranean_var_2.wfc	clear	midday
region_048	111	161	port_cul_7_mediterranean_var_1.wfc	clear	midday
;region_011	10	159	port_cul_5_mediterranean_var_1.wfc	clear	midday
region_095	199	159	port_cul_1_mediterranean_var_2.wfc	clear	midday
region_096	212	159	port_cul_1_mediterranean_var_3.wfc	clear	midday
region_082	165	156	port_cul_1_mediterranean_var_1.wfc	clear	midday
region_086	183	156	port_cul_1_mediterranean_var_2.wfc	clear	midday
region_018	59	155	port_cul_5_mediterranean_var_2.wfc	clear	midday
region_050	83	154	port_cul_7_mediterranean_var_1.wfc	clear	midday
region_044	156	154	port_cul_1_mediterranean_var_2.wfc	clear	midday
region_042	140	152	port_cul_2_mediterranean_var_2.wfc	clear	midday
region_097	201	149	port_cul_1_mediterranean_var_3.wfc	clear	midday
region_083	168	148	port_cul_1_mediterranean_var_1.wfc	clear	midday
region_087	185	146	port_cul_1_mediterranean_var_1.wfc	clear	midday
region_013	55	145	port_cul_7_mediterranean_var_2.wfc	clear	midday
region_049	109	145	port_cul_7_mediterranean_var_1.wfc	clear	midday
region_084	172	143	port_cul_1_mediterranean_var_3.wfc	clear	midday
region_099	206	141	port_cul_3_mediterranean_var_3.wfc	clear	midday
region_108	254	141	port_cul_4_mediterranean_var_2.wfc	clear	midday
region_118	258	140	port_cul_3_mediterranean_var_2.wfc	clear	midday
region_012	31	139	port_cul_5_mediterranean_var_1.wfc	clear	midday
region_043	150	138	port_cul_1_mediterranean_var_3.wfc	clear	midday
region_089	183	138	port_cul_1_mediterranean_var_1.wfc	clear	midday
region_046	140	137	port_cul_1_mediterranean_var_3.wfc	clear	midday
region_088	189	137	port_cul_1_mediterranean_var_1.wfc	clear	midday
region_101	231	136	port_cul_1_steppe_var_1.wfc	clear	midday
region_163	20	135	port_cul_7_mediterranean_var_2.wfc	clear	midday
region_098	207	135	port_cul_1_mediterranean_var_2.wfc	clear	midday
region_045	129	132	port_cul_7_mediterranean_var_3.wfc	clear	midday
region_100	221	131	port_cul_1_mediterranean_var_2.wfc	clear	midday
region_166	88	130	port_cul_7_mediterranean_var_3.wfc	clear	midday
region_167	98	130	port_cul_7_mediterranean_var_2.wfc	clear	midday
region_169	105	130	port_cul_7_mediterranean_var_3.wfc	clear	midday
region_090	185	129	port_cul_1_mediterranean_var_2.wfc	clear	midday
region_165	38	128	port_cul_7_mediterranean_var_1.wfc	clear	midday
;	(Rhodos)	region_093	213	128	port_cul_1_mediterranean_var_3.wfc	clear	midday
region_170	119	127	port_cul_7_mediterranean_var_3.wfc	clear	midday
region_047	139	127	port_cul_1_mediterranean_var_2.wfc	clear	midday
region_188	261	127	port_cul_3_mediterranean_var_2.wfc	clear	midday
region_117	241	126	port_cul_3_mediterranean_var_1.wfc	clear	midday
region_126	345	124	port_cul_3_semi_arid_var_3.wfc	clear	midday
region_125	350	124	port_cul_3_semi_arid_var_2.wfc	clear	midday
region_091	193	120	port_cul_1_mediterranean_var_1.wfc	clear	midday
region_146	461	117	port_cul_4_tropical_indian_var_2.wfc	clear	midday
region_171	118	114	port_cul_7_mediterranean_var_2.wfc	clear	midday
;region_127	364	110	port_cul_3_semi_arid_var_1.wfc	clear	midday
region_136	401	110	port_cul_3_rocky_desert_var_1.wfc	clear	midday
;region_137	427	108	port_cul_3_rocky_desert_var_2.wfc	clear	midday
;region_156	503	101	port_cul_4_tropical_indian_var_2.wfc	clear	midday
region_173	128	99	port_cul_7_mediterranean_var_2.wfc	clear	midday
;	(Delta_Neilou)	region_178	233	96	port_cul_3_sandy_desert_var_2.wfc	clear	midday
;region_198	357	96	port_cul_7_sandy_desert_var_1.wfc	clear	midday
region_176	216	95	port_cul_3_sandy_desert_var_2.wfc	clear	midday
region_174	171	94	port_cul_3_mediterranean_var_2.wfc	clear	midday
;region_197	390	93	port_cul_7_sandy_desert_var_2.wfc	clear	midday
region_179	253	87	port_cul_3_rocky_desert_var_2.wfc	clear	midday
region_189	266	87	port_cul_7_rocky_desert_var_1.wfc	clear	midday
region_157	276	73	port_cul_7_semi_arid_var_1.wfc	clear	midday
;region_180	270	64	port_cul_3_sandy_desert_var_1.wfc	clear	midday
;region_192	312	37	port_cul_7_rocky_desert_var_3.wfc	clear	midday
;region_185	291	32	port_cul_3_rocky_desert_var_1.wfc	clear	midday
;region_195	380	26	port_cul_7_semi_arid_var_2.wfc	clear	midday
region_193	326	18	port_cul_7_semi_arid_var_3.wfc	clear	midday
;region_194	366	16	port_cul_7_semi_arid_var_3.wfc	clear	midday
;region_186	312	10	port_cul_7_rocky_desert_var_3.wfc	clear	midday
;region_196	351	8	port_cul_7_semi_arid_var_1.wfc	clear	midday
