Historical Faction,Internal Faction,Unit Type,Dictionary,Unit Name,Category,Era 0 (1860),Era 1 (1870),Era 2 (1880)
Confederates,milan,csa_militia,csa_militia,"Army of the Confederate States of America (Rifle, Springfield Model 1873)",infantry,No,Yes,Yes
Confederates,milan,csa_cav,csa_cav,"Confederate Cavalry (Carbine, Sharps Model 1853)",cavalry,Yes,Yes,Yes
Confederates,milan,gr_inf_mi,gr_inf_mi,"Confederate Marines (Rifle-Musket, Model 1855 Springfield)",infantry,Yes,Yes,No
Confederates,milan,csa_volunteers,csa_volunteers,Texan Sappers,infantry,Yes,No,No
Confederates,milan,csa_guard,csa_guard,"Army of Northern Virginia (Rifle-Musket, Enfield Pattern 1853)",infantry,Yes,No,No
Confederates,milan,csa_inf,csa_inf,"Confederate States Militia (Rifle-Musket, Model 1854 Lorenz)",infantry,Yes,Yes,No
Confederates,milan,csa_late_inf,csa_late_inf,"Confederate States Militia (Rifle, Springfield Model 1884)",infantry,No,No,Yes
Mexico,scotland,mex_army,mex_army,"Federal Infantry (Magazine Rifle, Model 1895 Mauser)",infantry,No,No,Yes
Mexico,scotland,mex_carbs,mex_carbs,"Carbineers (Carbine, Carabine Modèle 1886 Lebel)",cavalry,Yes,Yes,Yes
Mexico,scotland,mx_pistoleer,mx_pistoleer,Mexican Hussars,cavalry,Yes,Yes,Yes
Mexico,scotland,uk_knights_sc,uk_knights_sc,Mexican General and Staff,cavalry,Yes,Yes,Yes
Mexico,scotland,mex_natl_guard,mex_natl_guard,"State National Guard (Musket, Brown Bess Pattern 1839)",infantry,Yes,No,No
Mexico,scotland,aus_inf,aus_inf,"Federal Infantry (Rifle-Musket, Springfield Model 1861)",infantry,Yes,Yes,No
Mexico,scotland,mex_bers,mex_bers,"Cazadores (Flintlock Rifle, Baker Pattern 1800)",infantry,Yes,Yes,No
Mexico,scotland,mex_foot,mex_foot,"Rural Militia (Rifle, Remington Rolling Block)",infantry,Yes,Yes,Yes
Peru,denmark,mex_foot,mex_foot,"Rural Militia (Rifle, Remington Rolling Block)",infantry,Yes,Yes,Yes
Brazil,poland,mex_foot,mex_foot,"Rural Militia (Rifle, Remington Rolling Block)",infantry,Yes,Yes,Yes
Argentina,aztecs,mex_foot,mex_foot,"Rural Militia (Rifle, Remington Rolling Block)",infantry,Yes,Yes,Yes
Peru,denmark,rus_conscript_de,rus_conscript_de,"Peruvian Infantry (Rifle, Fusil modèle 1866 Chassepot ""Castañón"" Mod. Comblain II)",infantry,No,Yes,Yes
Peru,denmark,tzar_inf,tzar_inf,"Guardia Nacional (Rifle-Musket, Prussian Model 1839/55 Minie)",infantry,No,Yes,Yes
Peru,denmark,peru_foot,peru_foot,"Frontier Guards (Rifle, Remington Rolling Block)",infantry,No,Yes,Yes
Argentina,aztecs,peru_foot,peru_foot,"Frontier Guards (Rifle, Remington Rolling Block)",infantry,No,Yes,Yes
Peru,denmark,peru_carb,peru_carb,"Lanceros de Torata Carbineers (Carbine, Henry Rifle)",cavalry,Yes,Yes,Yes
Peru,denmark,peru_early_inf,peru_early_inf,"Peruvian Infantry (Rifle-Musket, Lorenz Model 1854)",infantry,Yes,No,No
Peru,denmark,bol_hussar,bol_hussar,Cuirassiers,cavalry,Yes,Yes,No
Peru,denmark,peru_hussars,peru_hussars,Peruvian General and Staff,cavalry,Yes,Yes,Yes
Brazil,poland,fra_hussar_po,fra_hussar_po,Brazilian General and Staff,cavalry,Yes,Yes,Yes
Brazil,poland,boer_guard_po,boer_guard_po,"Cacadores (Rifle-Musket, Pattern 1853 Enfield)",infantry,Yes,Yes,No
Brazil,poland,fra_guard_po,fra_guard_po,"Imperial Guard (Rifle, Fusil modèle 1866 Chassepot)",infantry,Yes,Yes,Yes
Brazil,poland,fra_inf,fra_inf,"Fuzileiros (Rifle-Musket, Pattern 1853 Enfield)",infantry,Yes,Yes,No
Argentina,aztecs,us_zouave_az,us_zouave_az,"Argentine Zouaves (Musket, Pattern 1842 Brown Bess)",infantry,Yes,Yes,No
Argentina,aztecs,arg_carb,arg_carb,"Argentine Carbineers (Carbine, M1842/51 musketoon)",cavalry,Yes,Yes,No
Argentina,aztecs,arg_inf,arg_inf,"Argentine Infantry (Rifle-Musket, M1842 Chatellerault)",infantry,Yes,Yes,No
Argentina,aztecs,gaucho_cav,gaucho_cav,Argentine General and Staff,cavalry,Yes,Yes,Yes
Brazil,poland,gaucho_cav,gaucho_cav,Argentine General and Staff,cavalry,Yes,Yes,Yes
Peru,denmark,gaucho_cav,gaucho_cav,Argentine General and Staff,cavalry,Yes,Yes,Yes
Argentina,aztecs,argie_pith,argie_pith,"Argentine Infantry (Magazine Rifle, Mauser Modelo 1891)",infantry,No,No,Yes
Argentina,aztecs,arg_guard,arg_guard,"Guardia de Presidente (Rifle, Remington Rolling Block)",infantry,Yes,Yes,Yes
Britain,england,pith_troopers,pith_troopers,"Green Jackets (Rifle-Musket, Pattern 1853 Enfield)",infantry,Yes,Yes,No
Britain,england,l_pith_cav,l_pith_cav,Reformed Light Cavalry,cavalry,No,No,Yes
Netherlands,portugal,l_pith_cav,l_pith_cav,Reformed Light Cavalry,cavalry,No,No,Yes
Argentina,aztecs,l_pith_cav,l_pith_cav,Reformed Light Cavalry,cavalry,No,No,Yes
Britain,england,l_pith_cam,l_pith_cam,Imperial Camel Corps,cavalry,No,No,Yes
Britain,england,l_brit_cav,l_brit_cav,Reformed Heavy Cavalry,cavalry,No,No,Yes
Britain,england,uk_musket,uk_musket,"Imperial Infantry (Rifle, Martini-Henry MKI)",infantry,No,Yes,No
Britain,england,uk_guard,uk_guard,"British Infantry (Magazine Rifle, Lee–Metford)",infantry,No,No,Yes
Britain,england,uk_sikhs,uk_sikhs,"British Indian Army (Rifle, Snider–Enfield)",infantry,No,Yes,Yes
Brazil,poland,uk_knights,uk_knights,Regiment of Horse,cavalry,Yes,Yes,No
Britain,england,uk_sailor,uk_sailor,"Royal Marines (Rifle, Martini-Henry Mk I)",infantry,No,Yes,Yes
Britain,england,uk_gurk,uk_gurk,"Gurkhas (Magazine Rifle, Lee–Enfield)",infantry,No,No,Yes
Britain,england,uk_roy,uk_roy,"Foot Guards Regiment (Rifle-Musket, Pattern 1858 Enfield)",infantry,Yes,No,No
Britain,england,uk_sikh_reg,uk_sikh_reg,"British Indian Army (Rifle-Musket, Enfield Pattern 1859)",infantry,Yes,No,No
Britain,england,uk_high,uk_high,"Highland Regiment (Rifle, Martini–Henry MK III)",infantry,No,Yes,Yes
Britain,england,uk_blackwatch,uk_blackwatch,"Highland Regiment (Rifle-Musket, Pattern 1858 Enfield)",infantry,Yes,No,No
Britain,england,uk_pith,uk_pith,"Commonwealth Infantry (Magazine Rifle, Lee–Enfield)",infantry,No,No,Yes
Britain,england,uk_pith_knights,uk_pith_knights,British General and Staff,cavalry,Yes,Yes,Yes
Britain,england,uk_inf,uk_inf,"British Infantry (Rifle, Snider–Enfield)",infantry,Yes,Yes,No
Brazil,poland,fra_cav,fra_cav,"Carbineers (Carbine, Carabine Modèle 1886 Lebel)",cavalry,No,No,Yes
Denmark,sicily,fra_cav,fra_cav,"Carbineers (Carbine, Carabine Modèle 1886 Lebel)",cavalry,No,No,Yes
France,france,fra_cav2,fra_cav2,"Carbineers (Carbine, Carabine Modèle 1886 Lebel)",cavalry,No,No,Yes
Brazil,poland,fra_cav2,fra_cav2,"Carbineers (Carbine, Carabine Modèle 1886 Lebel)",cavalry,No,No,Yes
France,france,fra_pith,fra_pith,"Fusiliers (Magazine Rifle, Fusil Modèle 1886 Lebel)",infantry,No,No,Yes
France,france,fra_ww1_inf,fra_ww1_inf,"Poilus NEEDS UPDATEd states, changed to riflemen",infantry,No,No,Yes
France,france,fra_carbs,fra_carbs,"Chasseurs à Cheval (Carbine, Carabine modèle 1867 Tabatière)",cavalry,Yes,Yes,No
France,france,fra_sailors,fra_sailors,"Fusiliers-Marins (Rifle, Fusil modèle 1866 Chassepot)",infantry,No,Yes,Yes
Peru,denmark,fra_sailors,fra_sailors,"Fusiliers-Marins (Rifle, Fusil modèle 1866 Chassepot)",infantry,No,Yes,Yes
Argentina,aztecs,fra_sailors,fra_sailors,"Fusiliers-Marins (Rifle, Fusil modèle 1866 Chassepot)",infantry,No,Yes,Yes
Mexico,scotland,fra_sailors,fra_sailors,"Fusiliers-Marins (Rifle, Fusil modèle 1866 Chassepot)",infantry,No,Yes,Yes
Aus-Hun,hungary,fra_sailors,fra_sailors,"Fusiliers-Marins (Rifle, Fusil modèle 1866 Chassepot)",infantry,No,Yes,Yes
Italy,venice,fra_sailors,fra_sailors,"Fusiliers-Marins (Rifle, Fusil modèle 1866 Chassepot)",infantry,No,Yes,Yes
France,france,fra_hus_2,fra_hus_2,Cuirassiers updated: added pistol primary swrod seconedary,cavalry,Yes,No,No
Argentina,aztecs,fra_hus_2,fra_hus_2,Cuirassiers updated: added pistol primary swrod seconedary,cavalry,Yes,No,No
Spain,spain,fra_hus_2,fra_hus_2,Cuirassiers updated: added pistol primary swrod seconedary,cavalry,Yes,No,No
France,france,fra_hussar,fra_hussar,General and Staff,cavalry,Yes,Yes,Yes
Denmark,sicily,fra_hussar,fra_hussar,General and Staff,cavalry,Yes,Yes,Yes
Greece,mongols,fra_hussar,fra_hussar,General and Staff,cavalry,Yes,Yes,Yes
France,france,fra_blacks_fr,fra_blacks_fr,"Tirailleurs Senegalais (Rifle-musket, Fusil Minié)",infantry,Yes,No,No
France,france,fra_rec,fra_rec,"Garde Nationale (Rifle, Fusil modèle 1864 Tabatière)",infantry,Yes,No,No
France,france,fra_inf_fr,fra_inf_fr,"Légion Entrangère (Rifle, Fusil modèle 1866 Chassepot)",infantry,Yes,Yes,No
France,france,fra_guard,fra_guard,"Grenadier (Rifle, Fusil Modèle 1874 Gras)",infantry,No,Yes,Yes
France,france,fra_inf_fl,fra_inf_fl,"Légion Entrangère (Magazine Rifle, Fusil Modèle 1886 Lebel)",infantry,No,No,Yes
France,france,fra_line_inf,fra_line_inf,"Fusiliers (Rifle, Fusil modèle 1864 Tabatière)",infantry,Yes,Yes,No
France,france,fra_chass,fra_chass,"Chasseurs à pied (Rifle, Fusil modèle 1866 Chassepot)",infantry,Yes,Yes,No
Prussia,hre,otto_sipahi,otto_sipahi,German General and Staff,cavalry,Yes,Yes,Yes
Prussia,hre,gr_gren,gr_gren,"Pioniere (Rifle, Zündnadelpioniergewehr U/M Dreyse)",infantry,Yes,Yes,No
Prussia,hre,gr_carbs,gr_carbs,"Prussian Dragoons (Carbine, Mauser M1871)",cavalry,No,Yes,Yes
Prussia,hre,wurt_inf,wurt_inf,"Wurttemberg Infantry (Needle Gun, M-1865 Dreyse)",infantry,No,Yes,Yes
Prussia,hre,pru_ww1_gren,pru_ww1_gren,Sturmtruppen Pioniere,infantry,No,No,Yes
Prussia,hre,pru_ww1_inf,pru_ww1_inf,Sturmtruppen,infantry,No,No,Yes
Prussia,hre,bav_inf,bav_inf,"Jager (Rifle, Gewehr M1871)",infantry,No,Yes,Yes
Prussia,hre,gr_inf,gr_inf,"Prussian Riflemen (Magazine Rifle, Gewehr M1898)",infantry,No,No,Yes
Prussia,hre,gr_colonial,gr_colonial,"Schutztruppe (Magazine Rifle, Gewehr M1888)",infantry,No,No,Yes
Prussia,hre,jager_inf,jager_inf,"Bavarian Regulars (Rifle, M1869 ""Aptiertes"")",infantry,Yes,Yes,Yes
Prussia,hre,rec_bav,rec_bav,"Bavarian Landwehr (Rifle, Werder M1869)",infantry,No,Yes,Yes
Prussia,hre,gr_sailor,gr_sailor,"Seesoldaten (Rifle, Gewehr M1871)",infantry,No,Yes,Yes
Prussia,hre,balk_cav_gr,balk_cav_gr,German Hussars,cavalry,Yes,Yes,Yes
Prussia,hre,ger_hus,ger_hus,German Cuirassiers,cavalry,Yes,No,No
Prussia,hre,hannover_inf,hannover_inf,"Hannoverian Infanterieregimente (Rifle, Gewehr M1871)",infantry,No,Yes,Yes
Prussia,hre,gr_lancer,gr_lancer,Colonial Lancers,cavalry,No,No,Yes
Prussia,hre,siam_riflemen_gr,siam_riflemen_gr,"Prussian Riflemen (Needle Gun, M-1849 Dreyse)",infantry,Yes,Yes,No
Spain,spain,uk_sailor_sp,uk_sailor_sp,"Cuban Infantry (Magazine Rifle, Fusil Mauser M1895)",infantry,No,No,Yes
Spain,spain,us_front_cav_sp,us_front_cav_sp,"Spanish Cavalry (Carbine, Tercerola Mauser M1893)",cavalry,No,No,Yes
Spain,spain,spa_regu,spa_regu,"Spanish Infantry (Rifle-Musket, Fusil Modelo 1859 Minie)",infantry,Yes,Yes,No
Spain,spain,fra_inf_sp,fra_inf_sp,"Spanish Colonial Infantry (Rifle-Musket, Fusil Modelo 1846 trans. 1857)",infantry,Yes,No,No
Spain,spain,spa_nafrica,spa_nafrica,"Spanish Colonial Infantry (Rifle, Fusil Remington M1868)",infantry,No,Yes,Yes
Spain,spain,segunda_inf,segunda_inf,"Segunda Regiment (Rifle-Musket, Fusil Modelo 1859 Minie)",infantry,Yes,No,No
Spain,spain,spa_inf_late,spa_inf_late,"Spanish Infantry (Magazine Rifle, Fusil Mauser M1893)",infantry,No,No,Yes
Spain,spain,aus_inf_sp,aus_inf_sp,"Spanish Cazadores (Rifle-Musket, Carabina Modelo 1857)",infantry,Yes,Yes,No
Spain,spain,civil_guard,civil_guard,Spanish General and Staff,cavalry,Yes,Yes,Yes
Spain,spain,spa_scout_cav,spa_scout_cav,"Spanish Colonial Cavalry (Carbine, Tercerola Remington M1868)",cavalry,No,Yes,Yes
Netherlands,portugal,dutch_pith,dutch_pith,"Line Regiment (Magazine Rifle, M1870/87 Beaumont-Vitali)",infantry,No,No,Yes
Netherlands,portugal,nl_roy,nl_roy,"Garderegiment (Rifle, P53 Enfield Mod. Snider)",infantry,Yes,Yes,No
Netherlands,portugal,dutch_askari,dutch_askari,"Royal Netherlands East Indies Army (Rifle, Beaumontgeweer M1873 Colonial)",infantry,No,Yes,Yes
Netherlands,portugal,dutch_askari2,dutch_askari2,"Royal Netherlands East Indies Army (Rifle-Musket, P53 Enfield)",infantry,Yes,No,No
Netherlands,portugal,dutch_inf,dutch_inf,"Line Regiment (Needle Gun, M-1860 Dreyse)",infantry,Yes,Yes,No
Netherlands,portugal,nl_colonial,nl_colonial,"Dutch Marines (Rifle, Fusil Minié Mod. Snider)",infantry,No,Yes,Yes
Netherlands,portugal,nl_carbs,nl_carbs,Dutch carbineers,cavalry,Yes,Yes,No
Netherlands,portugal,balk_cav_nl,balk_cav_nl,Dutch General and Staff,cavalry,Yes,Yes,Yes
Denmark,sicily,fra_guard_si,fra_guard_si,"Danish Infantry (Rifle-Musket, M1822 Mod. Minié)",infantry,Yes,No,No
Denmark,sicily,aus_inf_si,aus_inf_si,"Chasseurs (Rifle, Tapriffel M/1848)",infantry,Yes,Yes,No
Denmark,sicily,rus_cos_guard_si,rus_cos_guard_si,"Danish Infantry (Rifle, Tapriffel M1864)",infantry,No,Yes,Yes
Denmark,sicily,dan_cav,dan_cav,"Carbineers (Carbine, Lorenz Model 1854)",cavalry,Yes,Yes,No
Aus-Hun,hungary,dan_cav,dan_cav,"Carbineers (Carbine, Lorenz Model 1854)",cavalry,Yes,Yes,No
Denmark,sicily,dan_inf,dan_inf,"Danish Royal Guard (Magazine Rifle, Krag–Jørgensen M1889)",infantry,No,No,Yes
Swe-Nor,normans,rus_cos_guard_no,rus_cos_guard_no,"Swedish Infantry (Rifle, Remington Rolling Block Swedish)",infantry,No,Yes,Yes
Swe-Nor,normans,swed_roy,swed_roy,"Norwegian Infantry (Rifle, Kammerlader M1849/55)",infantry,Yes,Yes,No
Swe-Nor,normans,fra_carbs_no,fra_carbs_no,"Life Regiment Dragoons (Carbine, Remington Rolling Block Swedish M1870)",cavalry,No,Yes,Yes
Swe-Nor,normans,rus_imp_cav_no,rus_imp_cav_no,Swede-Norwegian General and Staff,cavalry,Yes,Yes,Yes
Swe-Nor,normans,rus_sib_cossacks_no,rus_sib_cossacks_no,Regiment of Horse,cavalry,Yes,Yes,No
Swe-Nor,normans,swe_guard,swe_guard,"Swedish Jager (Rifle-Musket, Wrede Percussion)",infantry,Yes,No,No
Swe-Nor,normans,norwegian_inf,norwegian_inf,"Norwegian Infantry (Magazine Rifle, Krag–Jørgensen)",infantry,No,No,Yes
Swe-Nor,normans,swed_inf2,swed_inf2,"Swedish Infantry (Rifle, Wrede Percussion Mod.)",infantry,Yes,No,No
Greece,mongols,evzones_inf,evzones_inf,"Evzones (Rifle, M1872 Mylonas)",infantry,No,Yes,Yes
Greece,mongols,greek_roy,greek_roy,Hellenic Sappers,infantry,No,No,Yes
Greece,mongols,greek_guard_cav,greek_guard_cav,"Hellenic Carbineers (Carbine, Nafplion M1833)",cavalry,Yes,Yes,No
Aus-Hun,hungary,rom_guard,rom_guard,"Skirmishers (Rifle-Musket, Lorenz Model 1854)",infantry,Yes,Yes,Yes
Greece,mongols,swed_inf,swed_inf,"Hellenic Infantry (Rifle, Gras Steyr)",infantry,No,Yes,Yes
Greece,mongols,rom_cav,rom_cav,"Dragoons (Carbine, Mannlicher M1888)",cavalry,No,No,Yes
Greece,mongols,greek_early_inf,greek_early_inf,"Hellenic Infantry (Musket, Ktoros M1837 caplock)",infantry,Yes,No,No
Italy,venice,it_carbs,it_carbs,Carabinieri,cavalry,No,Yes,Yes
Italy,venice,it_pistoleer,it_pistoleer,Italian General and Staff,cavalry,Yes,Yes,Yes
Italy,venice,rus_cos_guard_ve,rus_cos_guard_ve,"Italian Infantry (Rifle-Musket, Fucile di Fanteria Modello 1860)",infantry,Yes,Yes,No
Italy,venice,dan_inf_ve,dan_inf_ve,Guastatori Pioneers,infantry,Yes,Yes,Yes
Italy,venice,it_bers,it_bers,"Italian Infantry (Magazine Rifle, Carcano Fucile di Fanteria Modello 1891)",infantry,No,No,Yes
Italy,venice,us_front_inf_it,us_front_inf_it,"Risorgimento Volunteers (Rifle-Musket, Fucile di Fanteria Modello 1860)",infantry,Yes,No,No
Italy,venice,it_arditi,it_arditi,"Alpini (Magazine Rifle, Carcano Fucile di Fanteria Modello 1891)",infantry,No,No,Yes
Italy,venice,libya_inf,libya_inf,"Libyan Infantry (Magazine Rifle, M1870/87 Vetterli-Vitali)",infantry,No,No,Yes
Russia,russia,rus_conscript,rus_conscript,"Siberian Riflemen (Rifle-Musket, M-1857 Six Line)",infantry,Yes,Yes,No
Russia,russia,rus_cos_hussar,rus_cos_hussar,Tartar Auxililaries,cavalry,Yes,Yes,Yes
Ottoman,turks,georgian_inf,georgian_inf,"Georgian Partisans (Musket, M-1844 Mod. Percussion)",infantry,Yes,No,No
Russia,russia,georgian_inf,georgian_inf,"Georgian Partisans (Musket, M-1844 Mod. Percussion)",infantry,Yes,Yes,Yes
Russia,russia,rus_gen_cav,rus_gen_cav,Cossacks,cavalry,Yes,Yes,Yes
Union,portugala,rus_sailors,rus_sailors,"Naval Infantry (Rifle, Berdan I)",infantry,No,Yes,Yes
Netherlands,portugal,rus_sailors,rus_sailors,"Naval Infantry (Rifle, Berdan I)",infantry,No,Yes,Yes
Confederates,milan,rus_sailors,rus_sailors,"Naval Infantry (Rifle, Berdan I)",infantry,No,Yes,Yes
Brazil,poland,rus_sailors,rus_sailors,"Naval Infantry (Rifle, Berdan I)",infantry,No,Yes,Yes
Boers,teu,rus_sailors,rus_sailors,"Naval Infantry (Rifle, Berdan I)",infantry,No,Yes,Yes
Russia,russia,rus_imp_cav,rus_imp_cav,Russian General and Staff,cavalry,Yes,Yes,Yes
Russia,russia,rus_conscript_ru,rus_conscript_ru,"Russian Infantry (Rifle-Musket, M-1854 Rifled Percussion)",infantry,Yes,No,No
Russia,russia,rus_roy_cav_ru,rus_roy_cav_ru,"Dragoons (Carbine, Dragoon Musket M-1854)",cavalry,Yes,Yes,No
Russia,russia,rus_roy_inf_ru,rus_roy_inf_ru,"Russian Skirmishers (Rifle-Musket, M-1856 Jaeger Percussion)",infantry,Yes,Yes,No
Russia,russia,rus_guard,rus_guard,"Russian Infantry (Rifle, M1869 Russian Krnka)",infantry,No,Yes,Yes
Russia,russia,russ_inf,russ_inf,Udarniki Pionery,infantry,Yes,Yes,Yes
Russia,russia,rus_cos_guard_ru,rus_cos_guard_ru,"Leib Guard (Rifle, M-1854 Rifled Percussion Musket)",infantry,Yes,Yes,No
Russia,russia,rus_lat_inf_ru,rus_lat_inf_ru,"Siberian Riflemen (Magazine Rifle, Mosin–Nagant M1891)",infantry,No,No,Yes
Russia,russia,rus_georgian_cav,rus_georgian_cav,Caucasian Cavalry,cavalry,Yes,Yes,Yes
Ottoman,turks,rus_georgian_cav,rus_georgian_cav,Caucasian Cavalry,cavalry,Yes,No,No
Qajar,egypt,rus_sib_cossacks,rus_sib_cossacks,Qajari Horse Guard,cavalry,Yes,Yes,Yes
Aus-Hun,hungary,dutch_militia,dutch_militia,"Imperial Infantry (Rifle-Musket, Lorenz Model 1854)",infantry,Yes,Yes,No
Aus-Hun,hungary,rom_inf,rom_inf,"Royal Hungarian Honvéd (Rifle, Wänzl Model 1862)",infantry,No,Yes,Yes
Aus-Hun,hungary,it_royals,it_royals,Albanian Guerrillas,infantry,Yes,Yes,Yes
Italy,venice,it_royals,it_royals,Albanian Guerrillas,infantry,Yes,Yes,Yes
Greece,mongols,it_royals,it_royals,Albanian Guerrillas,infantry,Yes,Yes,Yes
Aus-Hun,hungary,aus_jag,aus_jag,"Imperial and Royal Army/Common Army (Magazine Rifle, Mannlicher Model 1886)",infantry,No,No,Yes
Britain,england,austro_sailor,austro_sailor,"Marines (Rifle, Lorenz Model 1862 Wänzl)",infantry,No,Yes,Yes
Greece,mongols,austro_sailor,austro_sailor,"Marines (Rifle, Lorenz Model 1862 Wänzl)",infantry,No,Yes,Yes
Spain,spain,austro_sailor,austro_sailor,"Marines (Rifle, Lorenz Model 1862 Wänzl)",infantry,No,Yes,Yes
Aus-Hun,hungary,aus_lancers,aus_lancers,Austrian Ulhans,cavalry,Yes,Yes,Yes
Aus-Hun,hungary,aus_ulhans,aus_ulhans,Imperial and Royal General and Staff,cavalry,Yes,Yes,Yes
Aus-Hun,hungary,aus_inf2,aus_inf2,"Imperial Austrian Landwehr (Rifle, M1867 Werndl–Holub)",infantry,No,Yes,Yes
Aus-Hun,hungary,aus_inf3,aus_inf3,"Jagdkommandos (Magazine Rifle, Mannlicher M1895)",infantry,Yes,Yes,Yes
Greece,mongols,balk_cav,balk_cav,Hussars,cavalry,Yes,Yes,Yes
Aus-Hun,hungary,kaiserjager,kaiserjager,"Grenzers (Rifle-Musket, Lorenz Model 1854)",infantry,Yes,No,No
Morocco,moors,black_guard,black_guard,Cherifian Army (Musket),infantry,Yes,No,No
Morocco,moors,fra_blacks,fra_blacks,"Fusiliers-Marins (Rifle, Fusil modèle 1866 Chassepot)",infantry,No,No,Yes
Ottoman,turks,fra_blacks,fra_blacks,"Fusiliers-Marins (Rifle, Fusil modèle 1866 Chassepot)",infantry,No,No,Yes
Morocco,moors,d_fra_for_cav,d_fra_for_cav,"Moroccan Infantry (Rifle, Fusil modèle 1864 Tabatière)",infantry,No,Yes,Yes
Morocco,moors,moroccan_camel_roy,moroccan_camel_roy,Moroccan Camelry (Harquebus),cavalry,Yes,Yes,Yes
Britain,england,arab_cav,arab_cav,Arab Cavalry,cavalry,Yes,Yes,Yes
France,france,arab_cav,arab_cav,Arab Cavalry,cavalry,Yes,Yes,Yes
Spain,spain,arab_cav,arab_cav,Arab Cavalry,cavalry,Yes,Yes,Yes
Ottoman,turks,arab_cav,arab_cav,Arab Cavalry,cavalry,Yes,Yes,Yes
Oman,golden,arab_cav,arab_cav,Arab Cavalry,cavalry,Yes,Yes,Yes
Morocco,moors,skif_inf,skif_inf,Rif Skirmishers (Hand-Crafted Long-Gun),infantry,Yes,Yes,No
Morocco,moors,skif_inf1,skif_inf1,"Rif Skirmishers (Magazine Rifle, Mauser M1890 Turkish)",infantry,No,No,Yes
Morocco,moors,otto_cav,otto_cav,"Sultan's Horse Guard (Carbine, Pattern 1851 Minie)",cavalry,Yes,Yes,Yes
Oman,golden,otto_cav,otto_cav,"Sultan's Horse Guard (Carbine, Pattern 1851 Minie)",cavalry,Yes,Yes,Yes
Morocco,moors,africa_cav,africa_cav,African Cavalry,cavalry,Yes,Yes,Yes
Oman,golden,africa_cav,africa_cav,African Cavalry,cavalry,Yes,Yes,Yes
Zulu,lith,africa_cav,africa_cav,African Cavalry,cavalry,Yes,Yes,Yes
Tokugawa,papal_states,africa_cav,africa_cav,African Cavalry,cavalry,Yes,Yes,Yes
Morocco,moors,african_warband,african_warband,African Warband,infantry,Yes,Yes,Yes
Zulu,lith,african_warband,african_warband,African Warband,infantry,Yes,Yes,Yes
Oman,golden,african_warband,african_warband,African Warband,infantry,Yes,Yes,Yes
Tokugawa,papal_states,african_warband,african_warband,African Warband,infantry,Yes,Yes,Yes
Boers,teu,csa_volunteers_te,csa_volunteers_te,"Boer Kommando (Magazine Rifle, Mauser Model 1895 'Boer')",infantry,No,No,Yes
Boers,teu,csa_lancer_te,csa_lancer_te,Boer General and Staff,cavalry,Yes,Yes,Yes
Boers,teu,boer_wagon,boer_wagon,"Laager (Rifle-Musket, Pattern 1853 Enfield)",cavalry,Yes,Yes,Yes
